fid,chirality,length,functional_group,doping,mean_ig,max_ig,std_ig,top10_ig
14,"7,5",15,none,none,0.01808473125084807,1.0,0.10654441643756624,0.15012166542245728
2,"6,6",13,none,none,0.6349186668387997,1.0,0.26352501381850835,1.0
1,"6,6",10,none,none,0.6613117585496724,1.0,0.2834879166473415,1.0
31,"13,1",10,none,1Ti_substitution,0.08679520356263841,1.0,0.20599328375462914,0.6567507822242715
28,"13,1",10,C=O,none,0.05811262458326806,1.0,0.19787848153307752,0.4937955888739981
13,"7,5",13,none,none,0.03420190919002791,1.0,0.11120766068348573,0.16733628455033545
10,"6,6",10,none,2Ti_surface,0.02227320829389323,1.0,0.1177192026174921,0.1967945049941092
5,"6,6",10,SO3H,none,0.025098449786883897,1.0,0.11595743301719756,0.2438608243707231
20,"7,5",10,none,1Ti_substitution,0.06080258166119548,1.0,0.17354066538476753,0.5256118930201337
6,"6,6",10,C=O,none,0.05214498636592272,1.0,0.0918263550462464,0.1964246271589216
20,"7,5",10,none,1Ti_substitution,0.06340224365051901,1.0,0.18366194690394147,0.5564588802220162
28,"13,1",10,C=O,none,0.056296835394936386,1.0,0.18994770604431935,0.46974860695157133
22,"7,5",10,none,2Ti_substitution,0.09323424049139725,1.0,0.21278613090554202,0.6947037353512094
9,"6,6",10,none,1Ti_substitution,0.026663094853003194,1.0,0.09142938808814881,0.18295887386098533
18,"7,5",10,NH2,none,0.010608291725052753,1.0,0.08836064647684445,0.0988380180381339
8,"6,6",10,none,1Ti_surface,0.013474013913844896,1.0,0.08585836023808924,0.1074815898801209
27,"13,1",10,SO3H,none,0.06825771947542664,1.0,0.1968371019468474,0.56656257692901
33,"13,1",10,none,2Ti_substitution,0.06534265072383708,1.0,0.19716633510441547,0.5471000889572044
39,"13,2",10,C=O,none,0.05966958692963026,1.0,0.19571176057721595,0.5085329981753326
12,"7,5",10,none,none,0.5739678725945823,1.0,0.2629640152779294,0.9293845156404124
44,"13,2",10,none,2Ti_substitution,0.0277733517329046,1.0,0.11535300939711195,0.26064204708329974
21,"7,5",10,none,2Ti_surface,0.02352767306821246,1.0,0.12457752704807037,0.21375794650414617
7,"6,6",10,NH2,none,0.010569962490161145,1.0,0.08505692337272638,0.09303210891245706
26,"13,1",20,none,none,0.033349094822996084,1.0,0.1589574572068985,0.30840452273799157
6,"6,6",10,C=O,none,0.0529383460583659,1.0,0.09167857554731293,0.19616214474441834
5,"6,6",10,SO3H,none,0.025921502348202084,1.0,0.11711632816810365,0.2475488456244566
41,"13,2",10,none,1Ti_surface,0.01883381971704255,1.0,0.09162372159326974,0.16731004126939106
19,"7,5",10,none,1Ti_surface,0.04433224674036332,1.0,0.14791165114349328,0.316433782817551
11,"6,6",10,none,2Ti_substitution,0.08848558824500256,1.0,0.23321264413450737,0.7544143307344988
18,"7,5",10,NH2,none,0.010911053001797585,1.0,0.0883253642046294,0.09874183267771447
39,"13,2",10,C=O,none,0.058938721563542164,1.0,0.19460355913727356,0.5073070928894103
30,"13,1",10,none,1Ti_surface,0.02141647934812996,1.0,0.09380689018972654,0.18930441554517607
15,"7,5",20,none,none,0.014035913143181759,1.0,0.09469991008192354,0.12098718248191612
37,"13,2",20,none,none,0.03288385194583547,1.0,0.15167411434345485,0.2920058334164191
27,"13,1",10,SO3H,none,0.07183691152942433,1.0,0.20532838971694303,0.605937071271182
27,"13,1",10,SO3H,none,0.059004342738355725,1.0,0.17088387710883152,0.511768229636713
37,"13,2",20,none,none,0.03300810257181294,1.0,0.15049005301944562,0.2881585336987618
41,"13,2",10,none,1Ti_surface,0.01961751574648003,1.0,0.09105815146200504,0.17183299875799546
29,"13,1",10,NH2,none,0.02487716612413814,1.0,0.09915080594864051,0.21459108367235868
6,"6,6",10,C=O,none,0.036936752077264136,1.0,0.09324453573402892,0.18115858510456487
1,"6,6",10,none,none,0.6570587462060908,1.0,0.28490309638198186,1.0
20,"7,5",10,none,1Ti_substitution,0.06016230971884948,1.0,0.18020093828363695,0.5415023028401206
13,"7,5",13,none,none,0.21584903477546158,1.0,0.11592815566693791,0.3933010084599766
38,"13,2",10,SO3H,none,0.07012771646138553,1.0,0.20014736521168985,0.5815003451435833
38,"13,2",10,SO3H,none,0.07762769888394075,1.0,0.21307044516390858,0.6453489236919583
44,"13,2",10,none,2Ti_substitution,0.030085691624241843,1.0,0.11810617058421577,0.2798639855843308
36,"13,2",15,none,none,0.04089826409553828,1.0,0.16576852229112235,0.34589889706787574
3,"6,6",15,none,none,0.7071017182174651,1.0,0.24679669629489667,1.0
36,"13,2",15,none,none,0.04195579006668596,1.0,0.16863945838381778,0.353631580020381
24,"13,1",13,none,none,0.050821700813326424,1.0,0.1769287938376696,0.4021098950102353
15,"7,5",20,none,none,0.023256668682800886,1.0,0.09355644751490584,0.11942898366996625
36,"13,2",15,none,none,0.04176175346015649,1.0,0.1685456201772018,0.35419731419642586
20,"7,5",10,none,1Ti_substitution,0.05944245035600294,1.0,0.17508404394444887,0.5264387853006344
7,"6,6",10,NH2,none,0.0109007505252476,1.0,0.0850004601286236,0.0915091380830475
1,"6,6",10,none,none,0.628809404990724,1.0,0.28317901719710326,1.0
8,"6,6",10,none,1Ti_surface,0.015326489369806956,1.0,0.08586233291726997,0.10937511353107848
16,"7,5",10,SO3H,none,0.028773292926229148,1.0,0.09965067520893407,0.20197553656736575
10,"6,6",10,none,2Ti_surface,0.022178199392297412,1.0,0.11918325200619131,0.20024245778532856
34,"13,2",10,none,none,0.057287670719406956,1.0,0.1989199490558769,0.49041803186296723
5,"6,6",10,SO3H,none,0.02584422188660901,1.0,0.11695352165746786,0.24704262988633963
22,"7,5",10,none,2Ti_substitution,0.09340204096151178,1.0,0.22338817262286345,0.7359006020320568
1,"6,6",10,none,none,0.6635363908006762,1.0,0.2863638831019281,1.0
17,"7,5",10,C=O,none,0.07083125010680617,1.0,0.092456990402956,0.20906530943290855
39,"13,2",10,C=O,none,0.05907404845214349,1.0,0.1931509106309552,0.510306091457654
30,"13,1",10,none,1Ti_surface,0.02038420960052519,1.0,0.09309246177128198,0.17995974646515286
40,"13,2",10,NH2,none,0.021647653742459593,1.0,0.09176737128130412,0.19130199195957695
21,"7,5",10,none,2Ti_surface,0.023471157203471774,1.0,0.12462227276585777,0.21484574465638662
33,"13,1",10,none,2Ti_substitution,0.06532371680762174,1.0,0.19553074949522603,0.5404314164727834
41,"13,2",10,none,1Ti_surface,0.01973551780915183,1.0,0.09089285892015271,0.1724744115198658
15,"7,5",20,none,none,0.016832021024772083,1.0,0.0943549879076575,0.1206403102759528
43,"13,2",10,none,2Ti_surface,0.07785544870769583,1.0,0.18808166663694767,0.6297115360379302
18,"7,5",10,NH2,none,0.010970957222454183,1.0,0.0883196278119194,0.09880278541118044
25,"13,1",15,none,none,0.0458941348502232,1.0,0.16188389521788066,0.3419741804686209
5,"6,6",10,SO3H,none,0.025745040596271803,1.0,0.11948036616552925,0.25306003601164373
26,"13,1",20,none,none,0.033316806902966095,1.0,0.15658726938822234,0.30323762971101076
18,"7,5",10,NH2,none,0.01065146361650592,1.0,0.08835630630050681,0.098819929897569
39,"13,2",10,C=O,none,0.057808721392506084,1.0,0.1922249982395921,0.4957643856880492
13,"7,5",13,none,none,0.021359095222409176,1.0,0.11290773400348379,0.167415955645954
29,"13,1",10,NH2,none,0.024992346003761292,1.0,0.09891841118099207,0.21343866072645334
